Id_Number,Patient Question,original_dominant,original_secondary,bucket,self_confidence,entropy,model_predicted_primary,model_predicted_primary_prob,model_predicted_secondary,model_predicted_secondary_prob,cleanlab_quality,corrected_primary,corrected_secondary,reviewer,review_notes
160,"From a grandmother in Canada: My grandchildren ages 7 and 8 have been telling me for almost 2 years that they are afraid of mommy, my Grandson age 7 started soiling his pants, so I took him to the doctors and he said he’s afraid of mommy and she smacks them quite a bit in the head, I got the CPS involved and they sent the children to counselling. The counsellor seen the children one time and informed the children’s father the children are lying and are making stories up to get mommy and daddy back together.",All-or-nothing thinking,,A,0.064,0.331,mind_reading,0.255,,0.22,0.202,,,,
1237,My mom introduced me to this really nice man. He wined me and dined me like no one has. We went to dinner and parties and seem to be getting close. He told me he was diagnosed as paranoid schizophrenic.( i dont know anything about this disorder) But he acted so normal to me and I immediately fell in love with him. My main reason was because he was going to school to become a minister. He prayed and read his bible faithfully. Then he told my mom he was falling in love with me. I have had a lot of bad relationships so I thought god finally answered my prayers. I WAS WRONG. We had an the worst argument I ever had with anyone! I had some out of town friends to come and he went into this jealous rage. He accuse me of sleeping with people who are like family to me. He then said they were touching me right of him…,All-or-nothing thinking,,A,0.064,0.322,mind_reading,0.247,,0.175,0.205,,,,
2162,"Hello, my boyfriend is great to me in person. We function well as a couple. However, he does certain things. He often yells out uncontrollably “I’m not gay, i’m german. I’m a God in the flesh.” He also mentions he’s a genius and the government is spying on him. To remedy this he screams in the shower “Shut up!” He also has a tendency to yell at his computer. This has disrupted my sleep. He’s also claimed he saw the devil leaning on his shoulder whispering the secret of life into his ear while brushing his teeth. He’s a hard worker. He works 2 part time jobs and owns a small business online selling his art. While I support him, he is obsessed, like he will spend hours and it will get to the point of me telling him to come spend time with me. It’s like he’d rather sit on his computer then have human interaction. That isn’t my biggest concern. He claims to have “out of body” experiences led by a voice. He refuses to give me the name of said “Voice.” Also, he has a few dozen dream journals intricately written out. A relevant question. When you just wake up, how can you perfectly and legibly write down your dream? Now here’s the last thing that bothers and hurts me. Since I agreed to marry this man, I did a background check. His records clean, he’s not abusive, but he had 3 dating sites stating he was single. I called him out, I printed his profile. I had the proof in front of him and he said I was crazy over and over. I take 2 trains and walk 1.5 miles to see him (this is until my vehicle is repaired.) I have bought him groceries for nearly a couple months, shown him loyalty and love. He brought up us getting married, which was to early but now at a year I feel it’s fine to get engaged. He’s a bit older than me, i’m 29 and he’s 39. Iv’e been told that he may have these profiles up related to self esteem or validation issues. He has a tendency to self deprecate himself and often asks me if I love him. I wished you could meet him and you would understand. I’m paranoid you think i’m sounding like a unhappy girlfriend. Why would someone show you such strong devotion in person, yet act insane and persue others online?",Mental filter,,A,0.064,0.402,mind_reading,0.477,,0.263,0.165,,,,
4584,"Hello, I am a 16 year old Sophomore in high school. For the past 5 years I have struggled with addiction to self injury, depression and ADHD. My parents refuse too believe anything is wrong with me and every day scream at me and break things as well as insult me about how useless I am and how I am always ruining their lives! My friends all say that I’m amazing and such a good friend but I have a hard time believing them when my OWN parents seem to hate me…My grades have gotten a lot worse because my parents deny that I am ADHD even though my doctor has said I need therapy and medication.",Mental filter,,A,0.066,0.388,mind_reading,0.507,,0.212,0.164,,,,
4585,"Since I began masturbating around eight years old or so, I have had sexual fantasies about incontinence. When I was younger, I fantasized about indulging in this fetish with others but nowadays I only think about being incontinent on my own in a cabin far up in the hills in some woods where noone can find me with an incinerator! So basically, it has to be far away from real life and very hidden for me to find pleasure in it and to escape the shame. I do also have completely normal fantasies and nowadays have to force myself to think about this fantasy in order to orgasm, but it doesn’t naturally come into my mind and, until properly aroused, I still find it genuinely disgusting.",Labeling,Emotional Reasoning,A,0.067,0.38,overgeneralization,0.256,,0.229,0.12,,,,
37,"I’ve been diagnosed with DID, psychosis, intermittent explosive disorder with homicidal thoughts & PTSD by VA psychiatrist. The VA has no problems diagnosing me with DID but they won’t treat DID. I’m in a constant state of extreme rage I can’t leave my living space because I can’t control the rage when I’m around people.",All-or-nothing thinking,,A,0.067,0.384,overgeneralization,0.256,,0.208,0.204,,,,
2418,"I need to clarify what it is that causes such anguish with this person. When I feel I really want or need something from my husband, if it is not mutual, it never comes about. I can ask, I can cry, I can be adamant, I can restate and explain my feelings, but there is no response.",Mental filter,,A,0.067,0.392,mind_reading,0.249,,0.216,0.205,,,,
35,"From a young woman in Latvia:  I should start by saying that I have never posted a question online before. I’m usually pretty logical and level headed and can resolve issues on my own. But this one has been tormenting me and I cannot seem to figure things out. My mother who is in her mid 50s has been teaching her entire life at one school. It’s the school me and my sister graduated from as well. Over a decade ago. But it’s what I know, what I’m familiar with.",Mental filter,,A,0.068,0.348,overgeneralization,0.275,,0.155,0.204,,,,
62,"From a woman in the U.S.: My mother-in-law banned me from her home and life after I wrote a semi-anonymous post on blog on how to deal with toxic people, mentioning her as being one. My husband has vocalized time and again that he is “on my side” but regularly (every other week or so) continues to see and talks to his parents as if nothing happened.",All-or-nothing thinking,,A,0.068,0.331,overgeneralization,0.206,,0.204,0.214,,,,
1264,"My father has physically abused me since I can remember. He has also verbally abused me. I am in college now, and the abuse has slowed down because I’m better at avoiding it. It all started before I was 6. More recently, say from age 11 onwards, when he abuses me, it is usually because I am rude to him. I don’t listen to what he says and I don’t obey him. He would punch me, backhand me, kick me, push me into things, and slap me. It was very painful and very traumatizing. It lasted all the way through high school and even now it is possible that he could start beating me. My mother would always protest but she thinks that child abuse is okay. She thinks what my father did to me was okay because I deserved for being rude.",Fortune-telling,,A,0.069,0.342,mind_reading,0.319,,0.249,0.195,,,,
4599,"I have reoccurring dreams that my boyfriend ( 1 year ) is/has been gay. The Dream is me finding a photo of him and a other male standing around , looking happy. When i confront him about this male, he admits he use to have a relationship with this male before me and they used to live together. ( not a hidden relationship on his family was all aware of). He assures me that relationship is over and he is with me now. I want to underline the fact that he is not cheating on me in this dream.",Emotional Reasoning,,A,0.07,0.332,overgeneralization,0.209,,0.192,0.216,,,,
2149,"I have been dating my boyfriend for almost a year. He has recently come into some hard times.  He lost his job, was forced to move back home, and has been faced with mounting financial debt.  He broke things off briefly because he said he needed to focus on himself while he was dealing with these issues.  While I felt hurt, he made the right decision.  A few days after breaking it off, he called to say he missed me and wanted to work on things. While things in his life were not improving, our relationship was still going well. But the past few weeks it has taken a turn.  A lot of times I try to reach out to him and get no response. I don’t think it has anything to do with our relationship but because of the outside stress he is facing.  When he has faced stressful times in the past, he shuts down and shuts everyone and everything out. I know this is his way of coping.  He usually is back to his old self within a day or two. The longer his situation remains the way it is, the more depressed I see him becoming.  And the more distant he becomes.  I try reaching out to him by text or phone and don’t get any response.  I leave him messages telling him to call me or text me but if he doesn’t feel up to it, it’s ok too.",Emotional Reasoning,,A,0.07,0.395,mind_reading,0.463,,0.215,0.173,,,,
4573,My girlfriend and i have been dating for 5 years. With being sexual active with each other for 3 years prior. Before we started dating and for the first year of our relationship her sex drive was amazing. Over time it slowly decreased. It is to the point now where we have sex 1-2 times a month.,Overgeneralization,Should statements,A,0.071,0.307,overgeneralization,0.195,,0.158,0.122,,,,
39,"My boyfriend of one year, who I have been looking at apartments with, broke up with me out of the blue. He has been feeling suicidal, which he dropped on me as we were walking into my parents house. I was completely caught off guard and said this was a selfish (cringe) time to disclose this information since we are always together. I apologized right after we had dealt with my family and tried to talk but he didn’t want to. He said everything was fine. I offered we go home and he said he wanted to stay. We went out on a boat trip with my family the next day. My boyfriend got really drunk and got into a fight with me because he wanted me to drive him to his friends (we were in the middle of the ocean). I tried hugging him to show I loved him and it was okay and to calm down but that just made it worse. He said I tried to smother him, broke up with me in front of my family, and forced my family to take him to a private beach where he waited for someone to pick him up. Once we both got back home a few days later we tried to talk but he told me that I never supported his mental health. I had no idea he felt this way, that episodes like this were so intense. He told me he had bipolar but he never talked about it. I was really involved in finding him a therapist and I was always there but he would tell me he just “needed to be quiet” and he was “okay.” I’m not sure what to do. He won’t talk to me anymore and has wiped me from his life. This is the total opposite of the person who asked my grandfather (one month ago) for permission to marry me. I’m extremely lost. I have PTSD and so all of this is extremely triggering for me. I’ve been completely open with my mental health and the boundaries I need. I don’t know if I should keep checking on him or leave him alone. I left him alone because he said he wanted space when this first happened but then he threw in my face that i wasn’t there for him when we did talk.",All-or-nothing thinking,,A,0.071,0.498,mind_reading,0.628,fortune_telling,0.391,0.141,,,,
78,"From a young woman in Canada:  We dated for 2 years, lived together and were really in love. I had problems moving to a new city a lot of things happened and I was unhappy with anxiety. It was too much on him and we broke up. We tried again but he would be hot and cold.. one moment he would say he was committed to trying and the next I wasn’t right for him. He said he still loves me and he can’t.",All-or-nothing thinking,,A,0.071,0.334,mind_reading,0.257,,0.178,0.209,,,,
618,"From the U.S.: I started a job 6 months ago and work with a girl who seems to be a bit off. She always stares very intensely at other people and never says anything. She stands very uncomfortably close to other coworkers, behind them, next to them, etc., and never says anything, just stares and listens. She eavesdrops on other people’s conversations and reads over their shoulders on computer screens. She’s very socially awkward and we all think she has some type of disability or diagnosis that we don’t know about.",Overgeneralization,Magnification,A,0.071,0.305,mind_reading,0.211,,0.183,0.119,,,,
1634,"My boyfriend’s mother seemed to like me at first but since he and I have moved in together she has been my worst enemy. I recently lost my job and she constantly is calling my boyfriend and asking if I have found a job and then proceeds to make comments like “I bet she cant wait until you get paid, her hand will be out waiting for your money.”",All-or-nothing thinking,,A,0.071,0.322,mind_reading,0.234,,0.222,0.211,,,,
2480,"From a 15 year old in the U.S.: I don’t know where to start or what to say, but I know I am depressed. I have been thinking for quite a while now that I have bipolar disorder or borderline personality disorder, or both. I imagine flashbacks and I talk to myself most of the time, specifically I have multiple voices in my head that are all their own person.",Emotional Reasoning,,A,0.072,0.326,overgeneralization,0.28,,0.147,0.207,,,,
4683,"I believe that I’ve got a mental illness, and that’s pretty obvious to me. The thing is that i also believe that i want to have one. Can this desire (to want to get worse, or to want to have a mental disorder) be considered as a mental disorder itself?",Emotional Reasoning,,A,0.073,0.376,overgeneralization,0.273,,0.182,0.208,,,,
357,"From the U.S.: My husband and I used to both be friends with some neighbors. One of them has a TBI. For a year, she was calm around us, although we knew that she screamed and berated her husband each day. Then, she turned the same volatile screaming on me one day because she didn’t like that I was doing my MBA homework. I have never returned.",All-or-nothing thinking,,A,0.073,0.334,overgeneralization,0.216,,0.182,0.216,,,,
612,"My mum and dad portrayed the best family for me, never argued, always treated us right and we were happy. Until my mum and dad split up, I don’t know all the details, I was 7 at the time. When my mum started dating again I was upset, this one occasion the man she was dating wasn’t very nice… I’d rather not go into details.",All-or-nothing thinking,,A,0.073,0.321,overgeneralization,0.265,,0.172,0.209,,,,
1165,"I’m a 25yo male, i’ve been diagnosed with depression with suicidal thoughts more than one year ago and i’m still struggling with it, i’ve started receiving medical treatment since may 2016 now, during this period i’ve been prescribed with Dosulepin, Escitalopram, Fluvoxamine, and Sertraline respectively for one month for each but none of them affected me in a good way. And finalyi’ve been on Fluoxetine for 7 months now and still no any improvement at all. I’ve recently came across an article stating that depression can be caused by some hormonal deficiency so i’ve made a list of most related hormones to the problem and got blood tested for them and the results were as following: TSH:2.23 uIU/ml. (Biological Reference: 0.3 – 4.8) Testosterone Free: 17.0 pg/ml. (Biological Reference: 8.3 – 40.1) Follicle Stimulating Hormone (FSH): 2.6 mIU/ml. (Biological Reference: 1.5 – 12.4) Luteinizing Hormone (LH): 7.1 mIU/ml. (Biological Reference: Adult: 1.7-8.6) Prolactin: 14.0 ng/ml. (Biological Reference: 4 – 15.2) Estradiol (E2): 5 pg/ml. (Biological Reference: 7.6 – 43) Progesterone: 0.4 ng/ml. (Biological ReferenceAdult: 0.2 1.4) Testosterone-Total: 4.62 ng/ml. (Biological Reference: Adult : 2.4 – 8.3) Cortisol-am: 19.25 ug/dL. (Biological Reference: 6 – 19.4) Cortisol-pm: 21.21 ug/dL. (Biological Reference: 2.3 – 11.9) Parathyroid Hormone (PTH): 55.2pg/ml. (Biological Reference: 15 – 65) I’ve stopped seeing any doctors and i’m about to give up trying tbh and i don’t have the power to go find a new good doctor and start the whole journey again with him/her.. Do you think that my tests results indicate a physical problem that can be the cause of the whole depression problem? and what would you recommend me to do next?",All-or-nothing thinking,,A,0.073,0.405,overgeneralization,0.259,,0.248,0.208,,,,
1272,"From the Netherlands: For about 6 months, my boyfriend and I are together. In the beginning, it was fun and exciting; he treated me like a queen. Compliments, romantic gestures, talking for hours, etc. But after two months things started to change. The romantic gestures ended. No more compliments or other expressions of his affection towards me. He has one BIG passion and that’s kite surfing, and thats ALL he can talk about. To be honest I don’t know what his feelings for me are really, because he never expresses himself.",All-or-nothing thinking,,A,0.073,0.313,mind_reading,0.235,,0.178,0.214,,,,
2469,From Iran: I am a PhD candidate of structural engineering. I have a proposal of marriage from a man who is a PhD of pharmacy and 35 years old. He is the faculty of a good university in my country. I think he suffers from depression. He does his works very slowly. He has so few friends and has not any special fun except listening to classic music and watching movie. He says that he wakes up easily by a weak sound at night.,Magnification,,A,0.073,0.303,overgeneralization,0.197,,0.17,0.221,,,,
1536,Im 17 years old. ive lied about having an eating disorder and have been hospitalized many times. ive lied about trauma and have been hospitalized for it as well.,Personalization,,A,0.075,0.329,overgeneralization,0.295,,0.156,0.207,,,,
130,"From a woman in the U.S.:  I have a friend who has autism just like I do. At first we had a lot in common when we first met. As the short two years go by, I’ve learned we really don’t have a lot in common besides video games, anime and plush toys. Our values and beliefs differ from each other. She prefers family while I choose independence.",All-or-nothing thinking,,A,0.076,0.312,overgeneralization,0.25,,0.164,0.215,,,,
1044,"When I met my boyfriend, it was an instant attraction on the phone. He was a friend of a friend and came highly recommended. When I met him finally it was an instant attraction in person. We both felt like it was just right. The glitch, to the perfect story comes a few months after we started dating. He misses dinner and a weekend we were supposed to have together and doesn’t return my phone calls.",All-or-nothing thinking,,A,0.076,0.308,mind_reading,0.208,,0.158,0.221,,,,
1722,"I know I need to go to the doctors but before I do I wanted to get other opinions. I’ll start at the beginning; when I was in year 4 I used to scrap my hands on the floor and hurt myself, pinching, pushing my eyes. Things like that. Self-harm has been something I have done a lot, I have also cut for several years but now it is burning myself. However, I have not had an incident in a few months.",Should statements,,A,0.076,0.324,overgeneralization,0.27,,0.131,0.212,,,,
2152,"For 5 months now, my father has left me and my mother in search for “work” in the Philippines, since he was released from his job in Australia in 2013. Currently, my father rarely contacts us, either through phone or email. He even KNOWS my email and house number. Yet, he never seems to call at all, or seems the least bit concerned. This isn’t the first time my father has done this. He’s done it multiple times throughout my life, but this time, it really seems like he’s not going to return. In fact, I believe that my father planned everything before escaping back to his home country instead of “searching for work” there.",Emotional Reasoning,,A,0.076,0.317,mind_reading,0.285,,0.195,0.208,,,,
156,"From France: I work as a teaching assistant at the university. I have a mentor who I assist and who also should be my dissertation mentor. Because nothing I did was ever good enough we decided together that I should seek for a new mentor. I had immediate success and my thesis was confirmed very quickly, even praised by an eminent scholar.",Personalization,,A,0.077,0.31,overgeneralization,0.21,,0.157,0.222,,,,
373,From the U.S.: The past few days have been the hardest. The mother of my son and I was together for about three years. I’ve never been the type to express how I feel in a sensitive way. I recently told her I didn’t wanna be with her and I felt it to be true up until she left and it’s been two weeks and she has already moved on and found a lover.,All-or-nothing thinking,,A,0.077,0.35,overgeneralization,0.213,,0.167,0.221,,,,
657,"It seems like for the last couple of years (or somewhere around that margin) I’ve been having problems with just letting things go or mentally getting over something. For example, yesterday, I was in a book store, walking up to the counter, when I felt something hit my back. I looked down, and it was some kind of children’s rubber toy, and there was a stand near me that it could have fell off of if I bumped into it. However, I didn’t notice any such thing on the stand, and it landed on my back…",Mental filter,,A,0.077,0.334,overgeneralization,0.219,,0.184,0.22,,,,
1975,"My daughter is 8 now and seems much different than my other children. She has always been more attached to me, needing to be with me all the time, flipping out when dropping her at school or making her sleep in her own bed. She will be up drawing in the middle of the night. Always has to have her ears covered when flushing a toilet or starting a bath. Must be listening to music 24/7. Is becoming increasing more violent. Shows zero emotions unless its anger, sadness, or attitude. 2-3 times a year has a complete angry, violent to herself, screaming, breakdown that she says she “can;t stop.” Literally nothing makes her genuinely happy. Always mopey. One pediatrician said 3 years ago that it was just anxiety.",Mental filter,,A,0.077,0.378,overgeneralization,0.277,,0.248,0.208,,,,
4518,"It really just occurred to me recently. I’ve always had vague, small, random memories of it in my mind over the past few years. I knew it was my life, I never gave it much thought. But recently I started thinking about it more and I realized those vague memories were kind of all I had now.",All-or-nothing thinking,,A,0.078,0.363,overgeneralization,0.237,,0.183,0.217,,,,
38,"From a teen in the U.S.: I’m 16 and this year was the worst for me. My parents got divorced, but I knew there was no bad blood between each other and me and them. Yet, it still sucked knowing they”re divorced now. I understand why it happened and I know it’s a necessary evil. However, it affected my school work so bad.",Mental filter,,A,0.078,0.363,overgeneralization,0.253,,0.157,0.216,,,,
259,"A couple of months ago, my boyfriend appeared to go through a manic episode leading to a psychotic episode. He was depressed and anxious for a few months time, then suddenly stopped sleeping, eating, and had some false ideas about his capabilities (i.e. starting signing up for dance classes and bee keeping courses out of the blue). I had never seen that behavior in him before.",Magnification,,A,0.078,0.303,overgeneralization,0.201,,0.176,0.224,,,,
324,"From a teen in the U.S.: Ever since I was a child I had the tendency to imagine and create worlds and people inside my head whom I would interact with. I would spend hours upon hours just imagining different scenarios, conversations, and more people to add to the list. As I got older I couldn’t shake the urge of imagining things and soon enough I would retreat to my room playing music as loud as can be and hours would pass me by while I’m stuck in there doing nothing. I will pace my room in circles imagining this other reality and sometimes I will lie in bed in the dark to do the same if I cannot pace. What could this be brought on by? I have been diagnosed with depression and have been taking anti-depressants for years but this has always remained with me for as long as I can remember.",Mental filter,,A,0.078,0.353,overgeneralization,0.316,,0.167,0.206,,,,
351,From an adult in the U.K. Just before Xmas last year I wanted a one in one with my mother so as I could tell her of a Grandchild of 21 that she didn’t know of. I had a feeling this request would be ignored or dismissed by my mother so I got in contact with her closest friend of 40 years and told her of the situation and asked her to ring my mum and to try and arrange a one to one for me with her in the next month or so.,Mind Reading,Fortune-telling,A,0.078,0.318,mind_reading,0.201,,0.175,0.128,,,,
